Sid	Symbol	Splice_type	Exons	Start_exon	End_exon	N.lineage	Anova.p (lineage subtype)	Anova.p (molecular subtype)	Num.mRNA	Cor.mRNA	Num.protein	Cor.protein	N.drug	Cor.drug
CPNE1_ES_2.1:2.2:3_1.2_5	CPNE1	ES	2.1:2.2:3	1.2	5	50	0.13525311388131	0.00895517003663898	51	-0.752307692307692	30	-0.492324805339266	26	-0.623931623931624
CPNE1_ES_2.2:3_1.2_5	CPNE1	ES	2.2:3	1.2	5	50	0.468730907084396	0.449091817780235	51	-0.584796380090498	30	-0.522135706340378	26	-0.686837606837607
CPNE1_ES_3_2.2_5	CPNE1	ES	3	2.2	5	50	0.552842627750662	1.13059017273559e-10	51	-0.64316742081448	30	-0.384649610678532	25	-0.628461538461538
CPNE7_ES_3:4_2_5	CPNE7	ES	3:4	2	5	50	0.00058536364051064	0.0100809234437482	51	0.0102345836013	30	-0.060761190083919	26	0.647603689136335
CPSF4_AA_9.1_8_9.2	CPSF4	AA	9.1	8	9.2	50	0.735674513508994	0.284612143375531	51	0.112307692307692	30	-0.110567296996663	26	-0.677948717948718
CPSF4_ES_4_3_5	CPSF4	ES	4	3	5	50	0.995522587845954	0.880209319554094	51	-0.164754858749379	30	0.0545050055617353	26	0.647863247863248
CPSF6_ES_7_6.2_8.1	CPSF6	ES	7	6.2	8.1	50	0.396573842865653	0.296884945900441	51	-0.247420814479638	30	0.0380422691879867	26	-0.664273504273504
CPSF7_ES_4_3_6.1	CPSF7	ES	4	3	6.1	50	0.0777121309954259	0.0302833086363257	51	0.0107692307692308	30	-0.320578420467186	25	-0.729230769230769
CPSF7_ES_4:6.1:6.2:6.3_3_7.1	CPSF7	ES	4:6.1:6.2:6.3	3	7.1	50	0.969716378064149	0.894320646164925	51	-0.131686125980558	30	-0.303259541313647	26	-0.695042735042735
CPSF7_ES_6.1:6.2:6.3_3_7.1	CPSF7	ES	6.1:6.2:6.3	3	7.1	50	0.668962598236356	0.0134746409346746	51	-0.217033216564521	30	-0.197352320722821	26	0.645811965811966
CPT1B_RI_22.2_22.1_22.3	CPT1B	RI	22.2	22.1	22.3	50	0.147217724167524	0.227907411442603	51	-0.0362451639270124	NA	NA	26	0.677948717948718
CPT1C_ES_4_2_6	CPT1C	ES	4	2	6	50	0.408792083866889	0.27213097738202	51	0.464576575631882	18	0.0516820806008211	24	-0.639674722418597
CPT1C_ES_7_6_8.1	CPT1C	ES	7	6	8.1	50	0.536724233673496	0.241954653621496	51	0.338722426764535	18	0.0352634003935049	26	-0.653197800184666
CPVL_AD_6.2_6.1_7	CPVL	AD	6.2	6.1	7	50	0.37403353986695	0.486755124568602	51	0.746059225373821	30	0.559671062845837	25	-0.733844686158249
CRB3_RI_5.2_5.1_5.3	CRB3	RI	5.2	5.1	5.3	50	0.131146789053417	0.817215858569995	51	-0.340466096001583	13	-0.657445383461191	26	0.735275050542417
CREB3L4_AD_1.2_1.1_3.1	CREB3L4	AD	1.2	1.1	3.1	50	0.349751447855057	0.472856274316496	51	-0.2405195050126	NA	NA	26	0.73597815521589
CREB3L4_AD_3.2_3.1_4	CREB3L4	AD	3.2	3.1	4	50	0.102031845855878	0.0798813398224245	51	-0.13683257918552	NA	NA	26	-0.64991452991453
CREBZF_RI_2.2_2.1_2.3	CREBZF	RI	2.2	2.1	2.3	50	0.791701330815273	0.691052007842539	51	0.130048191168831	6	-0.485714285714286	26	-0.673846153846154
CREBZF_RI_2.4_2.3_2.5	CREBZF	RI	2.4	2.3	2.5	50	0.546597429496531	0.341688372723379	51	0.00805448087266943	6	-0.657142857142857	26	-0.736068376068376
CREBZF_RI_2.6:2.7_2.5_2.8	CREBZF	RI	2.6:2.7	2.5	2.8	50	0.835120819630257	0.56433798510528	51	0.230774451969742	6	0.657142857142857	26	-0.692991452991453
CRELD2_ES_6_5_7	CRELD2	ES	6	5	7	50	0.38094621990369	0.946043256481751	51	0.12027149321267	30	-0.163515016685206	24	0.700869565217391
CREM_ES_4_1_9.2	CREM	ES	4	1	9.2	50	0.287225927615111	0.00811647457573129	51	0.181447963800905	NA	NA	26	0.729230769230769
CREM_ES_4:9.2:10.1_1_15	CREM	ES	4:9.2:10.1	1	15	50	0.261949825713833	0.46777016509492	51	0.200819023106219	NA	NA	26	-0.713504273504273
CREM_ES_9.2:10.1_1_15	CREM	ES	9.2:10.1	1	15	50	0.20599173106023	0.116288810130664	51	0.151858639374599	NA	NA	26	-0.77025641025641
CRIM1_ES_14_13_15	CRIM1	ES	14	13	15	50	0.355830208485328	0.572996211193955	44	0.264129668780832	25	0.0823076923076923	23	0.66699604743083
CRIP2_ES_3_2_4	CRIP2	ES	3	2	4	50	0.580269864477581	0.309720131520622	51	0.320142989742338	30	0.0956724891891915	24	-0.685801277355909
CRYZ_ES_8_7_9	CRYZ	ES	8	7	9	50	0.298961331370002	0.964910606888097	51	0.134932126696833	30	0.338375973303671	26	-0.835213675213675
CSAD_AD_10.2:10.3:10.4_10.1_11	CSAD	AD	10.2:10.3:10.4	10.1	11	50	0.688598379790872	0.686148804083683	51	0.456380090497737	NA	NA	25	0.653076923076923
CSAD_AD_10.2:10.3:10.4:10.5_10.1_11	CSAD	AD	10.2:10.3:10.4:10.5	10.1	11	50	7.70709650357339e-05	8.51575061448584e-08	51	0.462714932126697	NA	NA	26	-0.697777777777778
CSAD_ES_10.4:10.5_10.1_11	CSAD	ES	10.4:10.5	10.1	11	50	0.688606988566852	0.686150507398953	51	0.259508133734602	NA	NA	26	0.652649572649573
CSAD_ES_8:9_7.2_10.1	CSAD	ES	8:9	7.2	10.1	50	0.317083600513172	0.701746503286424	51	0.0511102617780926	NA	NA	24	-0.691035944919022
CSAD_RI_10.2:10.3_10.1_10.4	CSAD	RI	10.2:10.3	10.1	10.4	50	0.852934086462218	0.78015126918653	51	0.293031674208145	NA	NA	26	0.79008547008547
CSAG1_ES_2.1_1_3	CSAG1	ES	2.1	1	3	50	0.224313595264004	0.381534038998255	49	0.648775459629958	NA	NA	25	0.662118048728382
CSDE1_ES_2:3_1_4	CSDE1	ES	2:3	1	4	50	0.0805317630605118	0.0633829212538272	51	-0.0323076923076923	30	-0.197330367074527	24	-0.659130434782609
CSDE1_ES_6_5_7	CSDE1	ES	6	5	7	50	0.704865103373009	0.635119696002029	51	-0.0477828054298643	30	-0.0340378197997775	26	-0.656752136752137
CSDE1_ME_2|4_1_5	CSDE1	ME	2|4	1	5	50	0.883739077723692	0.518387907337473	51	0.0639819004524887	30	-0.112791991101224	26	0.744273504273504
CSF2RA_AD_2.2_2.1_4	CSF2RA	AD	2.2	2.1	4	50	0.712982056065317	0.919946856770317	48	0.717271380839261	NA	NA	25	-0.687956393507749
CSF2RA_ES_14_12_15	CSF2RA	ES	14	12	15	50	0.336584092171107	0.106434334510473	48	0.674226309134027	NA	NA	25	0.677167240001839
CSF2RA_ES_2.1_1_4	CSF2RA	ES	2.1	1	4	50	0.66404626776719	0.504589928587432	48	0.708534026639861	NA	NA	25	-0.696819453348877
CSF2RA_ES_2.1:2.2_1_4	CSF2RA	ES	2.1:2.2	1	4	50	0.265927381865667	0.235150626716787	48	0.765615333074431	NA	NA	25	-0.682930011916047
CSF2RA_ES_2.1:3_1_4	CSF2RA	ES	2.1:3	1	4	50	0.162224167107566	0.628935758413891	48	0.597107302067632	NA	NA	25	0.643916968191707
CSF3_AD_1.4_1.3_2	CSF3	AD	1.4	1.3	2	50	0.0824915902932259	0.113007728778624	43	0.295513334624223	NA	NA	18	0.397359707119513
CSGALNACT1_ES_7_5_8	CSGALNACT1	ES	7	5	8	50	0.372350332805931	0.452800746293083	51	0.553945243935114	8	0.0359287878573978	26	-0.681515194496699
CSNK1D_ES_11_10_12	CSNK1D	ES	11	10	12	50	0.2409138872616	0.722559155241344	51	0.406696832579185	28	0.0793650793650794	24	0.713043478260869
CSNK1E_AA_14.1_13_14.2	CSNK1E	AA	14.1	13	14.2	50	0.211774480825114	0.015885581503635	51	0.20841628959276	30	0.326362625139043	25	0.698461538461539
CSNK1G3_ES_11_10_12	CSNK1G3	ES	11	10	12	50	0.801561334964089	3.31038182738303e-06	51	0.296280374677587	29	0.0300492610837438	26	-0.736752136752137
CSNK1G3_ES_13_12_14	CSNK1G3	ES	13	12	14	50	0.802953179186714	3.32432027383639e-06	51	0.18172767998552	29	-0.137455352686912	24	-0.641739130434783
CSPP1_ES_11:12:13.1:14.1:15_10_16	CSPP1	ES	11:12:13.1:14.1:15	10	16	50	0.21944442723851	0.630106556867924	42	-0.0271452880641763	21	-0.0324675324675325	23	0.721343873517787
CSPP1_ES_20_19_21	CSPP1	ES	20	19	21	50	0.164326354179474	0.6121864118117	51	-0.0488401987769623	24	-0.0774586890400415	25	-0.718245016521006
CSPP1_ES_3_2_4	CSPP1	ES	3	2	4	50	0.747283251041233	0.043874395314678	51	-0.00660663379109815	24	-0.155652173913043	25	-0.689230769230769
CSPP1_ES_7_6_8	CSPP1	ES	7	6	8	50	0.164326354179474	0.6121864118117	51	0.0845515553823807	24	-0.0880698985560296	26	0.692914493186091
CSPP1_ES_8_6_9	CSPP1	ES	8	6	9	50	0.315997705891779	0.152055761505655	51	-0.0348424172581767	24	-0.28	26	0.679316239316239
CTBP1_ES_2.2_1_3.1	CTBP1	ES	2.2	1	3.1	50	0.917952012737689	0.828164986274551	51	-0.0527601809954751	30	-0.346829810901001	26	0.754529914529914
CTBP2_ES_5_2_6	CTBP2	ES	5	2	6	50	0.53053927512149	0.673624143797466	51	0.0889592760180995	30	0.139933259176863	26	-0.656068376068376
CTBP2_ME_5|6_2_9	CTBP2	ME	5|6	2	9	50	0.117569818349887	0.530610036928919	47	-0.0114477335800185	27	-0.0195360195360195	23	-0.698616600790514
CTBS_AD_1.2_1.1_2	CTBS	AD	1.2	1.1	2	50	0.112663079845019	0.0998791993008297	51	0.0914027149321267	29	-0.297536945812808	26	0.695726495726496
CTBS_ES_3_2_4	CTBS	ES	3	2	4	50	0.0211928589821711	0.0721763636958428	51	-0.0375130096768518	29	0.115285134511604	24	0.698260869565217
CTNNB1_AA_18.3_18.1_18.4	CTNNB1	AA	18.3	18.1	18.4	50	0.536586687363288	0.873822601243708	51	0.124434389140271	30	0.190656284760845	26	0.677948717948718
CTNNB1_RI_18.2_18.1_18.3	CTNNB1	RI	18.2	18.1	18.3	50	0.00174707458558526	0.00894905771145736	51	-0.222533936651584	30	-0.504338153503893	26	0.674529914529915
CTNNB1_RI_18.2:18.3_18.1_18.4	CTNNB1	RI	18.2:18.3	18.1	18.4	50	0.153143632677357	0.600200100985037	51	-0.113303167420814	30	-0.490989988876529	26	0.792136752136752
CTNND1_AD_2.2:2.3_2.1_5	CTNND1	AD	2.2:2.3	2.1	5	50	0.176111685891517	0.0297416361800913	51	0.0873303167420814	30	0.19377085650723	24	-0.68695652173913
CTNND1_ES_2.2:2.3:3:4.2_2.1_4.3	CTNND1	ES	2.2:2.3:3:4.2	2.1	4.3	50	0.817805169958662	0.31094435779154	51	-0.198416371283919	NA	NA	26	0.732475604315221
CTNND1_ES_2.2:2.3:3:4.2:4.3:5_2.1_6	CTNND1	ES	2.2:2.3:3:4.2:4.3:5	2.1	6	50	0.290714037942688	0.175529608958996	51	-0.196329882569291	30	-0.596223336780712	24	0.643534787247661
CTNND1_ES_2.2:2.3:5_2.1_6	CTNND1	ES	2.2:2.3:5	2.1	6	50	0.317830586410105	0.705127766873893	51	0.253484162895928	30	0.295661846496107	26	0.666324786324786
CTNND1_ES_2.2:5_2.1_6	CTNND1	ES	2.2:5	2.1	6	50	0.392339820268354	0.157762169631811	51	0.283283556233091	30	0.179775282011318	26	0.648306686140946
CTNND1_ES_2.3:3:4.1:4.2:4.3_2.2_5	CTNND1	ES	2.3:3:4.1:4.2:4.3	2.2	5	50	0.380974279485059	0.0763095511590926	51	-0.180172235207183	30	-0.416125436727026	26	0.77200353772869
CTNND1_ES_2.3:3:4.2:4.3_2.2_5	CTNND1	ES	2.3:3:4.2:4.3	2.2	5	50	0.888678205747539	0.88721504449422	51	-0.223526936946274	30	-0.560966711762492	26	0.679851424180113
CTNND1_ES_21_20_22.1	CTNND1	ES	21	20	22.1	50	0.799562028536843	0.0799085208002684	51	0.191131221719457	30	-0.000222469410456062	25	0.685384615384615
CTNND1_ES_21_20_22.2	CTNND1	ES	21	20	22.2	50	0.496302161468744	0.0281113684057292	34	0.151718869365928	19	-0.464912280701754	14	-0.775824175824176
CTNND1_ES_21:22.1_20_22.2	CTNND1	ES	21:22.1	20	22.2	50	0.344438979420817	0.197490134285964	51	0.103215004890781	30	-0.0411568409343715	25	0.673076923076923
CTNND1_ES_3:4.1:4.2:4.3_2.1_5	CTNND1	ES	3:4.1:4.2:4.3	2.1	5	50	0.0307796172769552	0.032342694984723	51	-0.358371040723982	30	-0.559955506117909	26	0.70051282051282
CTNND1_ES_3:4.1:4.2:4.3:5_2.1_6	CTNND1	ES	3:4.1:4.2:4.3:5	2.1	6	50	0.0275799971590247	0.043275755553521	51	-0.330226244343891	30	-0.559955506117909	26	0.658119658119658
CTNND1_ES_3:4.2:4.3_2.3_5	CTNND1	ES	3:4.2:4.3	2.3	5	50	0.791701330815274	0.344110634710086	51	-0.226641156063843	30	-0.600087076508736	26	0.658783225344527
CTNND1_ES_4.1:4.2:4.3_2.1_5	CTNND1	ES	4.1:4.2:4.3	2.1	5	50	0.0307795396237384	0.0323426519916543	51	0.0897305369129409	30	-0.244493882091212	25	-0.785384615384615
CTNND1_ES_4.1:4.2:4.3:5_2.1_6	CTNND1	ES	4.1:4.2:4.3:5	2.1	6	50	0.985449277671148	0.502713894237357	51	0.147378900012833	30	-0.164849833147942	25	-0.745384615384615
CTNND1_ES_5_2.1_6	CTNND1	ES	5	2.1	6	50	0.392340363626574	0.157761961591302	51	0.231855203619909	30	0.2293659621802	24	0.650434782608696
